LOC_Os01g01430
LOC_Os01g01470
LOC_Os01g01600
LOC_Os01g01840
LOC_Os01g01870
LOC_Os01g02110
LOC_Os01g03720
LOC_Os01g03890
LOC_Os01g04020
LOC_Os01g04750
LOC_Os01g04800
LOC_Os01g04930
LOC_Os01g06320
LOC_Os01g06640
LOC_Os01g07120
LOC_Os01g07430
LOC_Os01g07450
LOC_Os01g07480
LOC_Os01g07880
LOC_Os01g08160
LOC_Os01g08710
LOC_Os01g08970
LOC_Os01g09080
LOC_Os01g09100
LOC_Os01g09280
LOC_Os01g09550
LOC_Os01g09590
LOC_Os01g09640
LOC_Os01g09720
LOC_Os01g09760
LOC_Os01g09850
LOC_Os01g09900
LOC_Os01g09930
LOC_Os01g09940
LOC_Os01g09990
LOC_Os01g10370
LOC_Os01g10504
LOC_Os01g11200
LOC_Os01g11350
LOC_Os01g11510
LOC_Os01g11550
LOC_Os01g11910
LOC_Os01g12440
LOC_Os01g12700
LOC_Os01g12860
LOC_Os01g13300
LOC_Os01g13460
LOC_Os01g13520
LOC_Os01g13540
LOC_Os01g13740
LOC_Os01g14010
LOC_Os01g14030
LOC_Os01g14420
LOC_Os01g14440
LOC_Os01g14720
LOC_Os01g15640
LOC_Os01g15900
LOC_Os01g16810
LOC_Os01g17000
LOC_Os01g17260
LOC_Os01g18240
LOC_Os01g18290
LOC_Os01g18420
LOC_Os01g18440
LOC_Os01g18584
LOC_Os01g18850
LOC_Os01g18870
LOC_Os01g19330
LOC_Os01g19694
LOC_Os01g19970
LOC_Os01g20700
LOC_Os01g21120
LOC_Os01g21590
LOC_Os01g23750
LOC_Os01g23760
LOC_Os01g23770
LOC_Os01g23780
LOC_Os01g24070
LOC_Os01g28050
LOC_Os01g29840
LOC_Os01g32770
LOC_Os01g32890
LOC_Os01g33400
LOC_Os01g34060
LOC_Os01g36220
LOC_Os01g36460
LOC_Os01g37100
LOC_Os01g38610
LOC_Os01g39020
LOC_Os01g39040
LOC_Os01g39070
LOC_Os01g39110
LOC_Os01g39150
LOC_Os01g39160
LOC_Os01g39180
LOC_Os01g39220
LOC_Os01g39330
LOC_Os01g39480
LOC_Os01g39580
LOC_Os01g40260
LOC_Os01g40430
LOC_Os01g40670
LOC_Os01g41900
LOC_Os01g43180
LOC_Os01g43230
LOC_Os01g43550
LOC_Os01g43590
LOC_Os01g43650
LOC_Os01g44370
LOC_Os01g44390
LOC_Os01g44430
LOC_Os01g45090
LOC_Os01g45570
LOC_Os01g46700
LOC_Os01g46800
LOC_Os01g46870
LOC_Os01g46970
LOC_Os01g47360
LOC_Os01g47370
LOC_Os01g47560
LOC_Os01g47600
LOC_Os01g47670
LOC_Os01g47710
LOC_Os01g48060
LOC_Os01g48130
LOC_Os01g48170
LOC_Os01g48290
LOC_Os01g48320
LOC_Os01g48446
LOC_Os01g48700
LOC_Os01g49160
LOC_Os01g49830
LOC_Os01g50110
LOC_Os01g50720
LOC_Os01g50940
LOC_Os01g51140
LOC_Os01g51154
LOC_Os01g51260
LOC_Os01g51610
LOC_Os01g51690
LOC_Os01g52090
LOC_Os01g52410
LOC_Os01g52514
LOC_Os01g52540
LOC_Os01g52680
LOC_Os01g53040
LOC_Os01g53220
LOC_Os01g53260
LOC_Os01g54210
LOC_Os01g54550
LOC_Os01g54600
LOC_Os01g54890
LOC_Os01g54990
LOC_Os01g55100
LOC_Os01g55150
LOC_Os01g55340
LOC_Os01g55549
LOC_Os01g55580
LOC_Os01g55750
LOC_Os01g56530
LOC_Os01g56690
