geneID	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
AT2G474603	3.58370687283724e-108	0.407826990349173	0.701	0.195	8.16045892013769e-104	25	AT2G47460
AT2G46550	4.38526473105635e-108	0.262753181970403	0.724	0.202	9.98568631908841e-104	25	AT2G46550
AT5G223203	5.76480401852017e-108	0.257167380397968	0.734	0.2	1.31270352305723e-103	25	AT5G22320
AT5G519704	9.01180261969021e-108	0.579509470465207	0.911	0.378	2.05207757452966e-103	25	AT5G51970
AT3G141802	1.11622761649472e-107	0.318613156327489	0.796	0.245	2.54176190552014e-103	25	AT3G14180
AT2G195403	8.16066797961876e-107	0.316244532846068	0.796	0.246	1.85826570563899e-102	25	AT2G19540
AT5G606707	1.09149545215862e-106	0.800889840152186	0.977	0.425	2.4854442941104e-102	25	AT5G60670
AT4G112404	3.39786219393214e-106	0.44129442257801	0.875	0.314	7.73727200180287e-102	25	AT4G11240
AT1G674806	3.76604569669546e-106	0.61019830783419	0.928	0.406	8.57566265594523e-102	25	AT1G67480
AT5G624406	3.85533047273317e-106	0.37248833540285	0.849	0.27	8.77897301946071e-102	25	AT5G62440
AT2G337404	1.2671934722363e-105	0.389768523248461	0.882	0.334	2.88552625562927e-101	25	AT2G33740
AT5G137105	2.70165979841327e-105	0.71984204097468	0.951	0.485	6.15194952696686e-101	25	AT5G13710
AT4G141452	2.95464177421794e-105	0.31612570365766	0.786	0.258	6.72801478407168e-101	25	AT4G14145
AT4G132002	5.76739104874103e-105	0.294998880688758	0.812	0.267	1.31329261570882e-100	25	AT4G13200
AT3G572905	7.70088498208261e-105	0.602384750955516	0.934	0.431	1.75356851927003e-100	25	AT3G57290
ATCG007403	1.3178776315219e-104	0.2554346459526	0.812	0.257	3.00093915473853e-100	25	ATCG00740
AT4G358506	3.39261221295883e-104	0.30276479779755	0.819	0.257	7.72531727012855e-100	25	AT4G35850
AT2G357904	1.78715601500074e-103	0.299252516942245	0.812	0.264	4.06953296175819e-99	25	AT2G35790
AT1G526703	3.12626924675032e-103	0.399647415774142	0.832	0.302	7.11882770177516e-99	25	AT1G52670
AT5G288406	4.15879683723745e-103	0.558879140983563	0.931	0.456	9.46999627807339e-99	25	AT5G28840
AT1G502004	2.09324408062902e-102	0.372013878105114	0.862	0.327	4.76652609600034e-98	25	AT1G50200
AT1G137307	3.53181946890507e-102	0.250415342472493	0.76	0.227	8.04230611264374e-98	25	AT1G13730
AT1G351401	5.05713191813607e-102	0.317715533709855	0.487	0.096	1.15155950907876e-97	25	AT1G35140
AT1G765207	7.42301405564924e-102	0.571702704682731	0.947	0.364	1.69029453061189e-97	25	AT1G76520
AT5G280204	7.8581508623447e-102	0.373122362507177	0.885	0.315	1.78937953286451e-97	25	AT5G28020
AT4G267606	7.90611027356268e-102	0.263252503774421	0.76	0.219	1.80030037039296e-97	25	AT4G26760
AT1G089304	1.07923328729833e-101	0.264882606165785	0.832	0.257	2.45752211850704e-97	25	AT1G08930
AT2G269001	1.29044969866794e-101	0.384400500516724	0.865	0.326	2.93848300883677e-97	25	AT2G26900
AT4G155504	1.97022023973625e-101	0.356558205563012	0.836	0.274	4.48638850790341e-97	25	AT4G15550
AT3G163105	2.03169941892939e-101	0.322072793828619	0.77	0.244	4.62638274684412e-97	25	AT3G16310
AT3G542101	5.66871227547316e-101	0.323185760411442	0.816	0.3	1.29082247224799e-96	25	AT3G54210
AT2G215807	3.75011591467231e-100	0.834610935435529	0.98	0.563	8.53938894930031e-96	25	AT2G21580
AT3G222307	1.44192791008939e-99	0.887862410907103	0.984	0.624	3.28341404406454e-95	25	AT3G22230
AT4G218602	1.82022693967797e-99	0.326267823975802	0.842	0.316	4.14483876434071e-95	25	AT4G21860
AT1G562006	2.60460621507607e-99	0.624621360659159	0.957	0.491	5.93094881234972e-95	25	AT1G56200
AT4G311803	3.66374848222977e-99	0.54409412250249	0.931	0.455	8.3427216688854e-95	25	AT4G31180
AT1G778404	5.13861832616948e-99	0.412708381643531	0.885	0.372	1.17011477905205e-94	25	AT1G77840
AT1G274007	1.3670670659529e-98	0.845017294495921	0.99	0.555	3.11294841588136e-94	25	AT1G27400
AT1G267402	1.82745681116034e-98	0.264965385533337	0.73	0.22	4.1613019046932e-94	25	AT1G26740
AT5G137803	7.5337249370458e-98	0.528505979436173	0.934	0.462	1.7155045054147e-93	25	AT5G13780
AT3G544704	9.20680163566212e-98	0.360104262145501	0.839	0.294	2.09648080045662e-93	25	AT3G54470
AT3G483804	1.16722170500595e-97	0.372858530283527	0.862	0.342	2.65788054446906e-93	25	AT3G48380
AT4G270003	1.3491885475476e-97	0.645302681338941	0.957	0.55	3.07223724162063e-93	25	AT4G27000
AT1G184505	1.89940016077454e-97	0.314376699115744	0.845	0.3	4.32512410609971e-93	25	AT1G18450
AT1G541006	2.9015886350005e-97	0.699190233892479	0.97	0.58	6.60720748075964e-93	25	AT1G54100
AT5G209506	1.13995322529837e-96	0.367603845730762	0.895	0.315	2.59578748932691e-92	25	AT5G20950
AT5G107453	2.4498025896486e-96	0.31846384121152	0.839	0.316	5.57844547688882e-92	25	AT5G10745
AT5G226508	4.77942428060623e-96	0.630396123173891	0.97	0.417	1.08832270293684e-91	25	AT5G22650
AT4G202803	5.7385188663232e-96	0.265531104231218	0.757	0.248	1.30671813105046e-91	25	AT4G20280
AT4G282405	5.76460571445841e-96	0.641582284544974	0.938	0.424	1.31265836723932e-91	25	AT4G28240
AT1G615706	9.12619777111788e-96	0.329740085171304	0.862	0.287	2.07812649446125e-91	25	AT1G61570
AT3G632503	8.23898288398751e-95	0.333500909112321	0.839	0.302	1.8760987925128e-90	25	AT3G63250
AT2G350403	1.08181068304452e-94	0.253395870461562	0.734	0.217	2.46339110636067e-90	25	AT2G35040
AT1G021604	5.01372028670609e-94	0.31511558465006	0.842	0.322	1.14167424648584e-89	25	AT1G02160
AT5G085705	5.95267362248523e-94	0.494310229284524	0.928	0.433	1.35548331057611e-89	25	AT5G08570
AT2G437503	1.09181315438865e-93	0.396418794978139	0.862	0.36	2.48616773385839e-89	25	AT2G43750
AT4G262307	3.91068981222871e-93	0.639636425470822	0.964	0.471	8.90503177142599e-89	25	AT4G26230
AT3G070505	4.5158218304613e-93	0.263043455562553	0.73	0.216	1.02829778901434e-88	25	AT3G07050
AT2G252107	4.9071429541933e-93	0.812176626910824	0.984	0.611	1.11740552209936e-88	25	AT2G25210
