0	LRC
1	LRC
2	LRC
3	pericycle
4	pericycle
5	procambium
6	phloem
7	cortex
8	pericycle
9	columella
10	initials
11	LRC
12	LRC
13	cortex
14	endodermis
15	epidermis
16.0	pericycle
16.1	phloem
17	cortex
18	LRC
19	dividing
20	pericycle
21	procambium
22.0	xylem
22.1	procambium
22.2	initials
23	endodermis
24	trichoblast
25	cortex
26	atrichoblast
27	trichoblast
28	phloem
29	endodermis
30	LRC
31	xylem
32	procambium
33	pericycle
34	atrichoblast
35	LRC
36	LRC
37	QC
