Solyc00g011660.1
Solyc00g014800.1
Solyc01g005060.3
Solyc01g005130.2
Solyc01g005210.4
Solyc01g005630.3
Solyc01g005660.3
Solyc01g006650.2
Solyc01g006930.3
Solyc01g007070.3
Solyc01g007760.3
Solyc01g008170.3
Solyc01g008230.4
Solyc01g008490.4
Solyc01g008730.3
Solyc01g008880.3
Solyc01g008890.4
Solyc01g008910.2
Solyc01g008980.3
Solyc01g009070.3
Solyc01g009170.4
Solyc01g009440.3
Solyc01g009510.2
Solyc01g009650.1
Solyc01g009840.3
Solyc01g009860.3
Solyc01g010130.4
Solyc01g010240.3
Solyc01g010600.4
Solyc01g010910.2
Solyc01g014480.3
Solyc01g014720.3
Solyc01g014850.4
Solyc01g014860.3
Solyc01g014910.2
Solyc01g014960.1
Solyc01g014970.1
Solyc01g015210.1
Solyc01g016770.1
Solyc01g020170.2
Solyc01g021730.2
Solyc01g028930.4
Solyc01g044520.2
Solyc01g057080.1
Solyc01g057270.4
Solyc01g057300.2
Solyc01g057910.3
Solyc01g058130.1
Solyc01g058540.3
Solyc01g059950.1
Solyc01g059960.1
Solyc01g060170.4
Solyc01g060310.3
Solyc01g060370.2
Solyc01g060420.2
Solyc01g060490.4
Solyc01g065540.3
Solyc01g065900.3
Solyc01g065980.4
Solyc01g066500.1
Solyc01g066730.4
Solyc01g067130.4
Solyc01g067340.3
Solyc01g067540.2
Solyc01g067550.3
Solyc01g067560.3
Solyc01g068100.4
Solyc01g073910.4
Solyc01g073940.3
Solyc01g073950.4
Solyc01g079210.3
Solyc01g079260.4
Solyc01g079360.4
Solyc01g079370.4
Solyc01g079380.1
Solyc01g079390.4
Solyc01g079480.3
Solyc01g079560.3
Solyc01g079620.4
Solyc01g079870.4
Solyc01g080050.4
Solyc01g080670.3
Solyc01g081090.2
Solyc01g081100.3
Solyc01g081400.3
Solyc01g081630.4
Solyc01g086870.3
Solyc01g087030.3
Solyc01g087050.3
Solyc01g087130.4
Solyc01g087170.3
Solyc01g087240.3
Solyc01g087990.3
Solyc01g088820.2
Solyc01g089960.3
Solyc01g090300.2
Solyc01g090310.3
Solyc01g090320.4
Solyc01g090340.3
Solyc01g090370.3
Solyc01g090460.3
Solyc01g090530.3
Solyc01g090560.4
Solyc01g090730.3
Solyc01g090760.4
Solyc01g090790.4
Solyc01g090840.3
Solyc01g090950.4
Solyc01g091010.3
Solyc01g091400.3
Solyc01g091420.2
Solyc01g091540.3
Solyc01g091630.3
Solyc01g091760.3
Solyc01g091810.1
Solyc01g093960.3
Solyc01g094360.3
Solyc01g094580.3
Solyc01g095030.3
Solyc01g095100.4
Solyc01g095460.3
Solyc01g095500.3
Solyc01g095630.3
Solyc01g095640.2
Solyc01g095880.1
Solyc01g096050.4
Solyc01g096070.3
Solyc01g096120.3
Solyc01g096320.3
Solyc01g096370.4
Solyc01g096470.3
Solyc01g096700.4
Solyc01g096710.4
Solyc01g096790.4
Solyc01g096810.3
Solyc01g096850.4
Solyc01g096860.3
Solyc01g097330.3
Solyc01g097850.1
Solyc01g097890.2
Solyc01g098050.1
Solyc01g098060.1
Solyc01g098070.1
Solyc01g098220.2
Solyc01g098720.3
Solyc01g099320.4
Solyc01g099340.3
Solyc01g100200.3
Solyc01g100220.3
Solyc01g100460.3
Solyc01g100510.4
Solyc01g100990.3
Solyc01g101250.3
Solyc01g102260.3
Solyc01g102300.3
Solyc01g102340.3
Solyc01g102740.3
Solyc01g102980.3
Solyc01g103050.3
Solyc01g103180.4
Solyc01g103550.1
Solyc01g103780.4
Solyc01g103810.1
Solyc01g103820.1
Solyc01g103830.1
Solyc01g103840.1
Solyc01g103870.1
Solyc01g104550.3
Solyc01g104650.3
Solyc01g104760.2
Solyc01g104900.3
Solyc01g105230.4
Solyc01g105800.4
Solyc01g106030.4
Solyc01g106040.3
Solyc01g106170.4
Solyc01g106250.4
Solyc01g106460.4
Solyc01g106700.3
Solyc01g106710.1
Solyc01g106720.1
Solyc01g106730.1
Solyc01g106920.4
Solyc01g106930.3
Solyc01g106940.4
Solyc01g107140.3
Solyc01g107170.2
Solyc01g107190.3
Solyc01g107410.3
Solyc01g107950.2
Solyc01g107960.4
Solyc01g107970.1
Solyc01g108080.4
Solyc01g108120.3
Solyc01g108130.4
Solyc01g108140.4
Solyc01g108240.3
Solyc01g108300.3
Solyc01g108930.3
Solyc01g108940.2
Solyc01g108950.3
Solyc01g109240.3
Solyc01g109690.1
Solyc01g109700.3
Solyc01g109880.3
Solyc01g109980.4
Solyc01g110140.4
Solyc01g110180.4
Solyc01g110310.3
Solyc01g110370.4
Solyc01g110470.3
Solyc01g110480.4
Solyc01g110490.4
Solyc01g111130.4
Solyc01g111500.3
Solyc01g111580.3
Solyc01g112190.3
Solyc01g112320.3
Solyc02g005290.4
Solyc02g014740.2
Solyc02g014750.2
Solyc02g021260.3
Solyc02g021330.1
Solyc02g021680.3
Solyc02g024070.3
Solyc02g026080.2
Solyc02g030210.4
Solyc02g030460.2
Solyc02g032000.1
Solyc02g032180.3
Solyc02g032185.1
Solyc02g032190.1
Solyc02g032950.3
Solyc02g036370.3
Solyc02g036430.2
Solyc02g037530.3
Solyc02g061660.1
Solyc02g061700.1
Solyc02g061780.3
Solyc02g061870.1
Solyc02g061900.1
Solyc02g061910.1
Solyc02g061990.3
Solyc02g062060.1
Solyc02g062070.2
Solyc02g062090.1
Solyc02g062210.3
Solyc02g062380.3
Solyc02g062400.3
Solyc02g062690.3
Solyc02g062760.4
Solyc02g062940.3
Solyc02g062950.3
Solyc02g062960.4
Solyc02g063010.3
Solyc02g063430.4
Solyc02g063520.3
Solyc02g064630.4
Solyc02g064960.3
Solyc02g065150.2
Solyc02g065290.1
Solyc02g065310.1
Solyc02g065340.3
Solyc02g065350.3
Solyc02g065490.4
Solyc02g065730.2
Solyc02g065800.3
Solyc02g067020.1
Solyc02g067230.3
Solyc02g067310.4
Solyc02g067320.3
Solyc02g067330.1
Solyc02g067340.4
Solyc02g067380.4
Solyc02g067410.2
Solyc02g067430.3
Solyc02g067760.4
Solyc02g067800.4
Solyc02g068200.1
Solyc02g068550.2
Solyc02g069390.2
Solyc02g069440.3
Solyc02g069720.3
Solyc02g069830.4
Solyc02g069860.4
Solyc02g069960.4
Solyc02g070140.1
Solyc02g070880.1
Solyc02g071130.4
Solyc02g071730.4
Solyc02g071990.3
Solyc02g072000.3
Solyc02g072060.3
Solyc02g072190.4
Solyc02g076670.3
Solyc02g076810.4
Solyc02g076850.2
Solyc02g076920.3
Solyc02g077250.2
Solyc02g077360.1
Solyc02g077370.1
Solyc02g077380.2
Solyc02g077390.2
Solyc02g077450.3
Solyc02g077560.3
Solyc02g077590.1
Solyc02g077610.3
Solyc02g077660.3
Solyc02g077810.1
Solyc02g077840.2
Solyc02g077920.4
Solyc02g077950.3
Solyc02g077960.3
Solyc02g078130.3
Solyc02g078270.3
Solyc02g078340.4
Solyc02g078620.1
Solyc02g078810.4
Solyc02g079020.4
Solyc02g079180.1
Solyc02g079280.3
Solyc02g079760.3
Solyc02g079810.3
Solyc02g079970.4
Solyc02g080260.4
Solyc02g080680.3
Solyc02g080710.2
Solyc02g080730.2
Solyc02g080740.3
Solyc02g080860.3
Solyc02g080890.3
Solyc02g081120.4
Solyc02g081270.4
Solyc02g081640.4
Solyc02g081780.3
Solyc02g082040.3
Solyc02g082110.4
Solyc02g082375.1
Solyc02g082390.1
Solyc02g082670.3
Solyc02g082700.3
Solyc02g083520.2
Solyc02g083750.1
Solyc02g083950.3
Solyc02g084200.3
Solyc02g084230.3
Solyc02g084350.3
Solyc02g084420.3
Solyc02g084520.3
Solyc02g084590.4
Solyc02g084630.3
Solyc02g084680.3
Solyc02g084860.1
Solyc02g084880.3
Solyc02g085160.1
Solyc02g085190.2
Solyc02g085340.1
Solyc02g085580.4
Solyc02g085600.1
Solyc02g085610.4
Solyc02g085630.3
Solyc02g085910.4
Solyc02g086430.4
Solyc02g086480.1
Solyc02g086690.3
Solyc02g086930.4
Solyc02g087310.3
Solyc02g087570.1
Solyc02g087710.3
Solyc02g087840.3
Solyc02g087860.3
Solyc02g087920.3
Solyc02g087960.3
Solyc02g087970.1
Solyc02g088070.3
Solyc02g088180.3
Solyc02g088190.4
Solyc02g088340.4
Solyc02g088670.1
Solyc02g089020.2
Solyc02g089190.2
Solyc02g089200.4
Solyc02g089210.4
Solyc02g089420.1
Solyc02g089500.4
Solyc02g089520.2
Solyc02g089540.3
Solyc02g089830.2
Solyc02g089940.4
Solyc02g090170.3
Solyc02g090220.3
Solyc02g090310.1
Solyc02g090400.4
Solyc02g090410.4
Solyc02g090710.3
Solyc02g090770.1
Solyc02g090790.1
Solyc02g090800.1
Solyc02g090820.3
